Agalinis,Junonia-coenia,Junonia-evarete,Euphydryas-phaeton,Endothenia-hebesana,,,,,,,,,,,
Anemone,,,,,,,,,,,,,,,
Quercus,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Antheraea-polyphemus,Celastrina-argiolus,Papilio-rutulus,Hemileuca-maia,Eacles-imperialis,Morrisonia-confusa,Basilarchia-arthemis,Choristoneura-rosaceana,Paonias-excaecata,Malacosoma-disstria,Papilio-glaucus,Actias-luna
Aralia,Celastrina-argiolus,Papaipema-araliae,Papaipema-polymniae,,,,,,,,,,,,
Acer,Hyalophora-cecropia,Automeris-io,Antheraea-polyphemus,Papilio-rutulus,Eacles-imperialis,Morrisonia-confusa,Choristoneura-rosaceana,Paonias-excaecata,Malacosoma-disstria,Papilio-glaucus,Pandemis-limitata,Callosamia-promethea,Hemileuca-nevadensis-complex,Hyalophora-columbia,Morrisonia-latex
Prunus,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Antheraea-polyphemus,Celastrina-argiolus,Papilio-rutulus,Hemileuca-maia,Eacles-imperialis,Morrisonia-confusa,Basilarchia-arthemis,Choristoneura-rosaceana,Paonias-excaecata,Malacosoma-disstria,Actias-luna,Papilio-glaucus
Salix,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Antheraea-polyphemus,Papilio-rutulus,Hemileuca-maia,Eacles-imperialis,Morrisonia-confusa,Basilarchia-arthemis,Choristoneura-rosaceana,Paonias-excaecata,Malacosoma-disstria,Actias-luna,Malacosoma-americana,Pandemis-limitata
Betula,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Antheraea-polyphemus,Papilio-rutulus,Eacles-imperialis,Morrisonia-confusa,Choristoneura-rosaceana,Paonias-excaecata,Malacosoma-disstria,Actias-luna,Papilio-glaucus,Pandemis-limitata,Callosamia-promethea,Hemileuca-nevadensis-complex
Malus,Hyalophora-cecropia,Automeris-io,Malacosoma-californica,Antheraea-polyphemus,Papilio-rutulus,Hemileuca-maia,Morrisonia-confusa,Basilarchia-arthemis,Choristoneura-rosaceana,Paonias-excaecata,Malacosoma-disstria,Papilio-glaucus,Malacosoma-americana,Phyllonorycter-crataegella,Callosamia-promethea
Vaccinium,Antheraea-polyphemus,Celastrina-argiolus,Hemileuca-maia,Morrisonia-confusa,Choristoneura-rosaceana,Malacosoma-disstria,Pandemis-limitata,Hemileuca-nevadensis-complex,Archips-argyrospila,Argyrotaenia-franciscana,Hemileuca-lucina,Trichordestra-tacoma,Amphipyra-pyramidoides,Polygonia-faunus,
