Purple False Foxglove,Agalinis-purpurea,1,full sun,moist/wet,sandy ,4,6,"The rose-purple corolla of this widely spreading, smooth-stemmed annual has dark spots on the inside of the throat."
Iron Oak,Quercus-stellata,50,full sun,dry/moist,clay/loamy/sandy,463,20,"This is a 40-50 ft., coarse-branched, deciduous oak with a dense, oval crown."
Thimbleweed,Anemone-virginiana,1,full sun,dry/moist,clay/loamy/sandy,2,6,"This perennial’s erect, multiple stems, rising 2-3 ft., are topped by a greenish-white flower with a slightly elongated center resembling a short thimble."
Spikenard,Aralia-racemosa,1,shade,moist,clay/loamy/sandy,6,6,"The large, tapered flower clusters of this 2-5 ft. perennial are made up of many tiny white flowers, each with a tinge of yellow or green."
Red Maple,Acer-rubrum,75,full sun,moist/wet,clay/loamy/sandy,256,20,"Large tree with narrow or rounded, compact crown and red flowers, fruit, leafstalks, and autumn foliage."
American Wild Plum,Prunus-americana,35,part sun,dry/moist,loamy/sandy,347,20,"A thicket-forming shrub or small tree with short trunk, many spreading branches, broad crown, showy large white flowers, and red plums."
Prarie Willow,Salix-humilis,12,full sun,dry/moist/wet,clay/loamy/sandy,292,20,"Mounded shrub, 6-12 ft. tall, which often forms thickets. Ascending, wand-like branches are yellowish to brown."
River Birch,Betula-nigra,50,part sun,moist/wet,clay/loamy,285,20,"The gracefully branched river birch is a 30-50 ft., usually multi-trunked tree which can reach 90 ft."
American Crabapple,Malus-coronaria,30,full sun,moist,clay/loamy/sandy,233,20,"A 20-30 ft. tree with a short trunk and wide-spreading head. Flowers are white, tinged with rose."
Deerberry,Vaccinium-stamineum,12,part sun,dry/moist,clay/loamy/sandy,230,20,"A much-branched, globular-shaped shrub, 6-12 ft. Foliage turns a variety of colors through the seasons Nodding, greenish-white, pink tinged, bell-shaped flowers."
Shagbark Hickory,Carya-ovata,50,full sun,moist,loamy/sandy,224,20,"This is the hickory with bark that peels in long, tough curls off the straigt trunk."
American Elm,Ulmus-americana,100,part sun,moist/wet,clay/loamy/sandy,174,20,"Three distinct habits are recognized including the vase-shaped form in which the trunk divides into several erect limbs strongly arched above and terminating in numerous slender, pendulous branchlets."
Hazel Alder,Alnus-serrulata,20,full sun ,moist/wet/flooded,clay/loamy,164,20,"A multiple-trunked, suckering shrub, 12-20 ft. tall, with a picturesque habit and shiny gray-brown bark."
Gray Goldenrod,Solidago-nemoralis,1,full sun,dry,loamy/sandy,106,6,Flowers occur on the upper side of hairy stalks which arch out and downward creating a vase-shaped flower cluster.
New England Aster,Symphyotrichum-novae-angliae,3,part sun,moist,loamy,90,6,"New England American-aster is large and showy, growing to 6 or more ft. in height."
Swamp Sunflower,Helianthus-angustifolius,5,full sun,moist/wet,loamy/sandy,57,6,"Narrowleaf Sunflower is a member of the family Asteraceae, which includes herbs, sometimes shrubs or vines, rarely trees, with simple or compound, alternate or opposite leaves."
Hyssop-leaved Thouroughwort,Eupatorium-hyssopifolium,1,part sun,dry/moist,sandy ,38,6,"Flowers small, but organized into larger heads resembling a single, radially symmetrical flower cupped by a ring of green bracts."
Bird's Foot Violet,Viola-pedata,1,full sun,dry/moist,loamy/sandy,26,6,"Bird-foot violet is a low, clumped perennial, 4-10 in. high, with large, almost pansy-sized flowers."
Robin's Plantain,Erigeron-pulchellus,2,part sun,dry/moist,loamy/sandy,25,6,"Soft stems, 12-18 in. high, rise from rosettes appearing along surface runners. The paddle-shaped, basal leaves are soft and hairy."
Rose Mallow,Hibiscus-moscheutos,1,full sun,moist/wet/flooded,clay/loamy,25,6,"This is a 3-8 ft., shrubby perennial with numerous sturdy stems arising from a single crown."
Star Chickweed,Stellaria-pubera,2,part sun,moist,clay/loamy,13,6,"With its beautiful star-like flowers, this is the showiest of the many chickweeds. Its stems are of two forms: nonflowering and flowering, the former usually taller and often with larger leaves than the latter."
Skunk Cabbage,Symplocarpus-foetidus,3,part sun,wet,clay/loamy/sandy,1,6,"A perennial wildflower that grows in swampy, wet areas of forest lands. Its strong fetid odor, especially when the plant is bruised, resembles decaying flesh and lures insects that pollinate it."
Rue Anemone,Thalictrum-thalictroides,1,part sun,dry/moist,clay/loamy/sandy,15,6,"A delicate woodland perennial rising to 9 inches. At the top of the stalk is a lacy whorl of 3-parted, dark-green leaves above which rises delicate, reddish-brown stems bearing pink or white blossoms."
Big Cordgrass,Spartina-cynosuroides,1,full sun,moist/wet,clay/loamy/sandy,13,6,"A saltmarsh and brackish marsh grass found on the coasts of Connecticut, Massachusetts and Rhode Island. It is a highly productive plant that contributes detritus to the tidal wetlands, helping to make them fertile nursery habitat for many fish species."
Meadow Sweet,Spiraea-alba,6,full sun,moist,clay/loamy/sandy,61,20,"This species is often the most conspicuous part of the vegetation in its habitat, taking up large areas of ground. Its leaves are glossy yellow-green, oblong or lance-shaped, and toothed on the edges, and its twigs are tough and yellowish brown."
Steeplebush,Spiraea-tomentosa,6,full sun,moist/wet,clay/loamy/sandy,61,20,A native deciduous shrub which produces spike-like clusters of deep pink flowers in summer. It grows in Adirondack wetlands and moist fields.
Smooth Carrion Flower,Smilax-herbacea,2,part sun,moist,clay/loamy/sandy,19,6,"Carrion-flower gets its name from its unpleasant smelling flowers, which attract carrion flies as pollinators. The growing tips, including the unfolding leaves, can be eaten raw in a salad or boiled as a potherb."
Canada Goldenrod,Sorbus-americana,1,full sun,dry/moist,clay/loamy/sandy,106,6,"A rhizomatous, upright perennial of the sunflower family. It is mostly found growing in moist conditions on abandoned farmlands, pastures, fields, thickets, prairies, waste areas and along roadsides."
Red Elderberry,Sambucus-racemosa,12,part sun,dry/moist,loamy,32,20,"A deciduous suckering shrub which typically grows to 8-12’ tall with a somewhat sprawling habit. Fruits are sour and usually not consumed raw by humans, but may be cooked for use in the preparation of wine, jelly and pies. Fruits are attractive to wildlife. "
Bloodroot,Sanguinaria-canadensis,1,part sun,moist,loamy,1,6,"An attractive spring ephemeral, traditionally used in cough remedies. It is frequently used in Native American herbal medicine, for treating ailments ranging from coughs to ulcers, and even in love charms."
Little Bluestem,Schizachyrium-scoparium,1,full sun,dry,loamy/sandy,6,6,"A very ornamental bunchgrass with fine-textured foliage that forms very dense mounds 18-24 inches tall. Slender blue-green stems reach 3 feet by September, and become radiant mahogany-red with white, shining seed tufts in the fall. Color remains nearly all winter."
Swamp Rose,Rosa-palustris,6,part sun,moist/wet,clay/loamy,106,20,"An upright deciduous shrub with arching branches that typically grows to 3-6' tall and as wide. It is native to wet ground (swamps, marshes, ditches, stream banks) from Nova Scotia to Ontario to Minnesota south to Florida and Louisiana"
